name,ERA,W,L,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,KL,2B,3B,HR,AB,B/AVG,WP,HBP,BK
1,Michael Klingensmith (Saint Vincent),2.98,5,2,6,1,1-0,0,48.1,41,17,16,15,31,8,3,1,1,175,.234,1,10
2,Tate Ostrowski (Grove City),3.20,9,1,13,1,0-0,0,81.2,64,37,29,37,105,34,14,4,0,298,.215,5,17
3,Evan Umland (Grove City),3.34,7,4,6,3,1-0,3,67.1,68,32,25,14,53,13,10,1,6,255,.267,8,5
4,Mark Schweickert (Allegheny),3.43,3,3,7,1,0-1,0,42.0,27,17,16,25,53,23,3,0,0,149,.181,6,4
5,Logan Exler (Westminster),3.51,5,3,8,2,0-0,0,56.1,62,27,22,13,28,9,15,0,4,230,.270,6,2
6,Jeremy Kreuzwieser (Saint Vincent),3.61,4,3,8,0,0-0,2,47.1,42,25,19,27,31,8,8,1,3,181,.232,4,4
7,Kolton Banfi (Westminster),3.69,5,2,6,2,0-0,0,61.0,69,27,25,20,47,18,12,4,2,240,.288,4,4
8,Alec Katon (Thiel),3.70,2,6,10,0,0-1,0,58.1,62,32,24,32,55,14,10,2,1,225,.276,5,5
9,Ryan Conover (Geneva),3.73,2,4,9,1,1-0,0,50.2,44,38,21,28,47,18,4,1,1,195,.226,6,7
10,Tyler Horvat (W&J),3.86,11,3,15,4,1-0,0,93.1,84,41,40,21,82,18,27,5,5,353,.238,7,8
11,David Leslie (Grove City),4.06,5,3,11,3,1-0,3,75.1,69,40,34,38,76,15,16,2,2,285,.242,1,7
12,Brent Herrmann (Allegheny),4.44,5,1,8,0,0-0,0,48.2,66,30,24,14,35,11,12,0,1,206,.320,2,4
13,Travis Harvey (Thiel),4.71,0,7,11,0,0-0,0,57.1,68,52,30,25,34,10,13,4,4,236,.288,4,6
14,Casey Jones (Saint Vincent),4.72,1,3,7,0,0-0,2,55.1,72,34,29,21,49,11,16,0,3,237,.304,6,1
15,Mantle Trey (Bethany),4.75,2,2,9,1,1-0,1,66.1,86,51,35,12,35,8,19,3,3,278,.309,0,6
16,Bobby Kusinsky (Allegheny),4.76,4,3,8,0,0-0,0,45.1,30,30,24,19,45,11,2,1,3,162,.185,2,11
17,Jake Vitale (Westminster),4.93,5,4,12,0,0-1,0,65.2,73,47,36,36,77,17,14,1,3,266,.274,9,5
18,Dalton Lucey (Waynesburg),5.00,3,6,6,2,0-0,0,72.0,77,44,40,18,39,12,18,6,3,283,.272,1,5
19,Bryce Bedilion (Waynesburg),5.21,2,2,7,2,0-0,1,46.2,54,38,27,19,22,6,11,3,4,186,.290,3,4
20,Watson Jacob (Franciscan),5.53,1,6,10,1,1-0,0,53.2,63,44,33,23,41,7,15,2,5,210,.300,7,4
21,Ethan Erhard (Waynesburg),5.59,4,3,8,2,0-0,0,67.2,79,49,42,25,40,6,23,5,2,268,.295,4,8
22,D'angela Ky (Bethany),5.82,2,3,9,0,0-0,0,43.1,59,38,28,26,40,15,6,3,1,174,.339,8,6
23,Eric Paulin (Chatham),6.00,3,2,5,0,0-0,1,39.0,45,32,26,26,27,8,6,1,0,160,.281,7,1
24,Dawson Morrow (Chatham),6.45,2,5,9,1,0-2,0,44.2,51,37,32,31,39,15,9,5,0,180,.283,1,7
25,Zach Lemansky (Geneva),6.50,1,5,8,0,0-0,0,44.1,61,43,32,24,32,13,11,0,5,192,.318,6,2
26,Lavezza Mar (Bethany),6.66,3,6,13,0,0-0,0,51.1,89,62,38,15,40,12,19,3,4,241,.369,1,6
27,Zack Oddi (Chatham),6.85,4,4,5,0,0-1,0,43.1,69,48,33,17,38,14,14,3,1,192,.359,2,5
28,Drew Schreck (Chatham),6.96,2,3,8,0,0-0,0,42.2,65,38,33,14,24,8,12,4,5,186,.349,2,9
29,Gavin Pratt (Waynesburg),7.74,1,5,10,0,0-0,0,43.0,50,46,37,35,28,12,11,2,3,170,.294,6,6
30,Sagun Jeremy (Franciscan),10.29,0,9,11,0,0-0,0,42.0,69,50,48,19,21,8,28,5,3,189,.365,6,10
31,Brandi Dominic (Franciscan),13.81,0,6,10,0,0-0,0,43.0,89,76,66,19,35,14,21,9,14,221,.403,6,8
