name,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT
1,Scout Zaas (W&J),.433,1.187,39-39,141,35,61,11,0,8,43,96,.681,17,5,22,1,0.506,1,0
2,Nick Jacobs (Thiel),.429,1.172,35-35,119,29,51,15,1,4,35,80,.672,17,2,22,4,0.500,2,0
3,Matt Jennings (Allegheny),.394,.952,41-41,175,45,69,12,3,1,37,90,.514,11,5,16,3,0.438,3,1
4,Vincent Amatucci (Saint Vincent),.392,.975,24-19,74,16,29,6,1,1,13,40,.541,5,2,14,0,0.434,2,0
5,Zack Sackett (Geneva),.389,.995,35-35,157,39,61,6,9,2,28,91,.580,6,1,12,7,0.415,0,0
6,Drew Garth (W&J),.388,1.160,45-45,165,47,64,12,2,10,37,110,.667,23,12,19,6,0.493,1,0
7,Nathen Prunty (Thiel),.387,.913,39-39,137,21,53,7,0,1,25,63,.460,11,8,10,5,0.453,3,1
8,Josh Minnich (Grove City),.386,1.029,41-41,153,33,59,18,3,1,46,86,.562,20,7,12,7,0.467,4,3
9,Caison Holland (Grove City),.385,.936,37-37,135,28,52,9,0,0,25,61,.452,26,0,12,3,0.484,0,0
10,Kirk Bearjar (Geneva),.382,1.056,33-33,123,26,47,7,1,6,33,74,.602,17,0,24,0,0.454,1,0
11,Tim Hermansen (Geneva),.374,.870,33-33,115,27,43,2,0,0,20,45,.391,17,8,11,1,0.479,2,6
12,Jacob Laduca (W&J),.366,.972,48-48,186,59,68,12,2,4,31,96,.516,26,10,25,0,0.456,6,0
13,Sam Bevin (Grove City),.361,1.018,39-39,147,48,53,12,4,3,25,82,.558,25,3,11,3,0.460,1,0
14,Dylan Schmude (Saint Vincent),.358,.831,31-27,106,23,38,3,0,0,11,41,.387,14,3,18,2,0.444,1,2
15,Markus Williams (Grove City),.351,.881,41-41,171,25,60,16,0,3,43,85,.497,10,1,16,2,0.384,3,0
16,Jd Robinson (Allegheny),.350,1.019,40-40,143,38,50,16,2,3,34,79,.552,10,25,23,0,0.467,4,6
17,"Davis, Chris (Westminster)",.347,.852,32-26,95,16,33,2,1,1,16,40,.421,10,4,13,2,0.431,0,3
18,Tyson Bryant-dawson (Allegheny),.347,.969,41-40,173,49,60,14,1,7,47,97,.561,15,5,34,3,0.408,3,1
19,Wade Stoehr (Franciscan),.347,.940,36-36,124,28,43,10,0,2,23,59,.476,22,6,25,1,0.464,1,1
20,Nolan Lutz (W&J),.344,1.024,47-47,163,48,56,17,2,4,42,89,.546,30,14,33,0,0.478,2,0
21,Dalton Nicklow (Saint Vincent),.344,.932,29-26,96,18,33,8,1,2,15,49,.510,7,6,22,0,0.422,0,2
22,Angelo Deleonardis (Chatham),.343,.851,38-37,137,31,47,5,1,1,24,57,.416,20,6,10,1,0.435,5,2
23,Benny Dottle (Chatham),.340,.831,39-38,150,38,51,6,0,0,25,57,.380,27,5,21,2,0.451,2,1
24,Derek Hald (Saint Vincent),.338,.805,26-23,77,15,26,3,1,0,12,31,.403,8,1,6,0,0.402,1,1
25,Nick Roell (Bethany),.336,.803,37-36,128,28,43,6,0,0,11,49,.383,18,2,15,0,0.420,2,4
