name,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT
1,Mally Kilbane (Grove City),.441,1.162,39-39,143,43,63,15,2,2,40,88,.615,26,10,14,2,0.547,2,0
2,Burke Brendan (Franciscan),.433,1.098,33-37,120,20,52,16,0,2,22,74,.617,12,0,5,3,0.481,1,0
3,Billy Perroz (Saint Vincent),.418,1.206,39-39,146,42,61,16,4,7,38,106,.726,18,3,13,1,0.480,4,0
4,Roell Nick (Bethany),.409,.954,39-37,149,40,61,10,0,0,22,71,.477,17,5,13,0,0.477,3,2
5,Stoneman Co (Bethany),.406,.920,39-38,160,34,65,8,1,0,23,75,.469,12,1,20,0,0.451,0,2
6,Benny Dottle (Chatham),.401,1.001,37-37,147,40,59,13,0,0,18,72,.490,21,12,12,1,0.511,0,0
7,Tyler Horvat (W&J),.387,1.025,46-46,181,54,70,13,6,1,28,98,.541,34,1,25,2,0.484,1,2
8,Nolan Lutz (W&J),.379,1.091,42-39,145,44,55,13,3,6,35,92,.634,20,5,14,0,0.457,5,0
9,Markus Williams (Grove City),.364,.910,41-41,151,31,55,11,1,2,31,74,.490,17,1,17,2,0.420,5,3
10,Devin Bonine (Saint Vincent),.363,.857,27-25,91,24,33,7,0,0,23,40,.440,10,0,16,0,0.417,2,1
11,Sullivan Schueltz (Allegheny),.362,.892,34-33,116,33,42,2,3,2,25,56,.483,7,5,19,1,0.409,4,11
12,David Toruno (Geneva),.361,1.015,37-37,144,35,52,12,4,3,27,81,.563,16,8,15,2,0.452,0,1
13,Owens Cj (Bethany),.360,1.004,29-29,100,28,36,12,1,2,26,56,.560,9,7,10,0,0.444,1,0
14,Speaker Jos (Bethany),.360,.863,29-21,89,10,32,6,0,0,23,38,.427,11,1,16,0,0.436,0,0
15,Jordan Sabol (Saint Vincent),.358,.946,39-38,123,43,44,4,1,2,23,56,.455,33,5,22,0,0.491,6,5
16,Watson Jacob (Franciscan),.354,.776,37-37,96,3,34,5,0,0,13,39,.406,5,-2,18,1,0.370,1,0
17,Dalton Nicklow (Saint Vincent),.354,1.001,28-23,79,25,28,8,2,1,13,43,.544,9,6,15,1,0.457,0,3
18,Nick Sampson (Grove City),.352,.911,37-37,145,41,51,9,4,0,27,68,.469,22,3,17,5,0.442,2,2
19,C.J. Saylor (Grove City),.351,1.069,41-41,148,48,52,8,7,6,51,92,.622,26,2,29,3,0.447,3,0
20,Josh Minnich (Grove City),.348,.908,38-38,141,38,49,8,3,1,40,66,.468,18,6,13,4,0.440,1,0
21,Kirk Bearjar (Geneva),.344,1.001,28-24,90,19,31,11,0,3,19,51,.567,14,1,16,0,0.434,1,0
22,Falconite Peter (Franciscan),.342,.782,41-41,146,27,50,5,0,0,9,55,.377,15,1,22,0,0.405,1,4
23,Carter Chinn (Westminster),.342,.987,34-31,114,23,39,10,4,1,25,60,.526,18,8,25,0,0.461,1,0
24,Nico Cuello (Chatham),.338,.910,34-33,136,32,46,11,2,2,36,67,.493,14,5,28,1,0.417,1,1
25,Braeden Campbell (Westminster),.338,.833,38-37,133,31,45,3,2,1,21,55,.414,17,3,22,0,0.419,2,0
26,Logan Murgenovich (Westminster),.338,.921,40-40,154,36,52,10,2,2,32,72,.468,30,4,23,1,0.453,2,0
27,Seth Schrader (Westminster),.337,.819,27-26,98,18,33,7,0,0,19,40,.408,9,4,19,0,0.411,1,0
28,Ferrance Kyle (Franciscan),.336,.861,37-37,119,23,40,10,1,0,15,52,.437,16,3,18,2,0.424,1,0
29,Tyson Bryant-dawson (Allegheny),.333,1.019,36-36,135,29,45,4,4,8,34,81,.600,21,1,25,0,0.419,3,2
30,Frankie Manios (Westminster),.333,.795,29-15,63,10,21,2,0,0,16,23,.365,9,4,17,1,0.430,3,1
31,Brandon Cooper (Westminster),.328,.982,38-38,128,38,42,6,2,4,27,64,.500,30,8,29,0,0.482,0,5
32,Chase Chodkowski (Allegheny),.323,.898,36-35,124,26,40,9,1,3,17,60,.484,11,9,16,2,0.414,1,3
33,Seth Johnson (Thiel),.323,.858,39-38,155,34,50,12,2,2,21,72,.465,14,4,11,1,0.393,0,1
34,Jacob LaDuca (W&J),.322,.819,46-46,180,40,58,12,0,2,34,76,.422,16,9,25,0,0.397,4,2
35,Gavin Pratt (Waynesburg),.320,.754,32-32,97,18,31,4,0,1,12,38,.392,5,2,22,0,0.362,1,2
36,Ryan Dougherty (Allegheny),.320,.871,36-35,125,38,40,7,2,1,16,54,.432,22,6,24,1,0.439,2,3
37,Tim Hermansen (Geneva),.320,.789,38-38,128,22,41,4,1,0,12,47,.367,19,5,12,3,0.422,2,9
38,Evan Sante (W&J),.318,.970,42-42,148,36,47,9,2,6,41,78,.527,25,9,29,0,0.443,1,1
39,Scavnicky Ryan (Franciscan),.318,.717,41-41,154,22,49,9,0,0,24,58,.377,2,3,16,0,0.340,0,7
40,Alec Engelmore (Waynesburg),.316,.825,36-36,133,28,42,9,1,3,26,62,.466,6,3,28,1,0.359,0,0
41,Shane Cato (Grove City),.316,.893,37-32,117,28,37,5,1,4,39,56,.479,14,7,31,3,0.414,2,1
42,Dylan Schmude (Saint Vincent),.315,.756,29-23,89,17,28,4,0,0,10,32,.360,12,0,10,2,0.396,0,5
43,Scout Zaas (W&J),.313,.885,40-36,134,24,42,12,0,4,28,66,.493,12,6,18,0,0.392,1,2
44,Jake Bredl (Chatham),.313,.795,35-34,134,22,42,8,2,1,35,57,.425,4,11,23,4,0.370,5,1
45,Colton Brightwell (Thiel),.313,.750,33-28,112,17,35,4,1,0,14,41,.366,12,1,23,0,0.384,0,0
46,Matthew Randza (Westminster),.310,.831,39-39,155,28,48,13,3,2,33,73,.471,13,3,38,1,0.360,7,0
47,Chase Morrison (Thiel),.310,.730,36-36,129,20,40,7,0,0,23,47,.364,12,1,17,0,0.366,3,3
48,Luke Vittone (Grove City),.309,.893,41-41,175,48,54,9,4,5,25,86,.491,18,10,18,2,0.402,1,0
49,Tyler Cote (Chatham),.307,.887,37-33,114,25,35,12,1,1,29,52,.456,24,3,26,0,0.431,3,0
50,Bryce Bedilion (Waynesburg),.306,.896,30-30,121,22,37,5,6,3,21,63,.521,13,1,24,1,0.375,1,1
51,Brady Nolin (Allegheny),.303,.823,36-35,132,26,40,6,2,3,33,59,.447,12,4,24,0,0.376,1,2
52,Mike Bell (Waynesburg),.302,.759,34-34,116,22,35,4,0,0,14,39,.336,16,9,21,0,0.423,1,6
53,Zack Sackett (Geneva),.302,.715,32-31,126,24,38,4,2,0,24,46,.365,9,1,16,3,0.350,1,0
54,Matt Jennings (Allegheny),.298,.775,34-33,114,21,34,5,3,0,16,45,.395,9,6,19,0,0.380,0,0
55,Stoehr Wade (Franciscan),.297,.744,36-40,138,26,41,12,0,1,18,56,.406,4,5,13,6,0.338,1,2
56,Eric Gonzalez (Geneva),.295,.729,26-21,61,10,18,0,0,0,9,18,.295,11,4,6,2,0.434,0,1
57,Nick Guarnieri (Thiel),.294,.871,38-34,126,21,37,11,0,2,20,54,.429,32,3,21,1,0.442,2,1
58,Berg Alec (Bethany),.292,.816,34-29,89,18,26,5,0,2,23,37,.416,17,1,23,1,0.400,3,0
59,Trevor Dean (W&J),.285,.836,36-30,123,23,35,11,0,4,30,58,.472,15,1,26,1,0.364,1,0
60,Seth Burgdolt (Waynesburg),.284,.877,32-29,102,24,29,5,2,4,15,50,.490,13,6,23,1,0.387,3,1
61,Tyler Samuel (Franciscan),.283,.657,35-31,106,10,30,5,0,0,10,35,.330,6,1,14,2,0.327,0,4
62,Connor O'Brien (Geneva),.283,.736,27-24,92,20,26,4,0,1,9,33,.359,7,7,17,2,0.377,0,0
63,Caleb Lehman (Chatham),.282,.849,30-29,110,25,31,11,2,1,27,49,.445,23,1,17,2,0.404,2,0
64,Calvin Cackowski (Thiel),.282,.719,38-36,149,13,42,10,0,3,24,61,.409,4,3,32,0,0.310,2,0
65,Beatty Luke (Bethany),.280,.837,38-36,132,21,37,13,0,3,30,59,.447,18,7,17,1,0.390,2,0
66,Connor Bannias (Saint Vincent),.280,.767,38-37,132,24,37,8,2,1,20,52,.394,19,1,32,0,0.373,1,1
67,Ethan Bintrim (Thiel),.280,.792,37-35,125,19,35,9,1,1,18,49,.392,24,1,28,1,0.400,0,1
68,Lj Evans (Saint Vincent),.279,.771,27-25,104,14,29,8,2,1,18,44,.423,11,0,20,1,0.348,0,6
69,Aidan Ochs (Thiel),.278,.657,32-27,115,16,32,4,0,0,5,36,.313,11,1,7,2,0.344,1,0
70,Toothman De (Bethany),.274,.833,30-23,73,26,20,3,0,2,10,29,.397,11,10,25,0,0.436,0,2
71,Logan Scheider (W&J),.270,.832,42-38,115,26,31,8,0,2,17,45,.391,31,5,34,1,0.441,1,3
72,Quinn Burke (Chatham),.270,.860,36-34,126,21,34,11,1,4,20,59,.468,22,4,30,1,0.392,1,0
73,Dalton Mount (Waynesburg),.269,.784,27-23,78,16,21,4,2,1,12,32,.410,13,0,19,1,0.374,0,1
74,Brayden Cartwright (Allegheny),.267,.660,24-11,45,4,12,3,0,0,6,15,.333,4,0,8,0,0.327,0,0
75,Lane Ours (Waynesburg),.266,.783,32-31,109,16,29,9,0,3,25,47,.431,12,3,28,1,0.352,1,1
76,Dylan Vogel (Chatham),.265,.684,32-29,98,25,26,6,0,0,16,32,.327,14,0,21,1,0.357,0,3
